customer_id,segment,plan_tier,price,signup_date,auto_renew,initial_discount,age_group,region,favorite_team,years_following_team,team_loyalty_score
CUST_000001,casual,basic,14.22,2021-03-29,True,0.0,65+,southwest,HOU,5,0.24
CUST_000002,super_fan,vip,109.63,2025-05-04,True,0.0,18-24,west,GSW,9,0.62
CUST_000003,super_fan,vip,205.83,2024-02-29,True,0.0,25-34,northeast,PHI,6,0.81
CUST_000004,regular,premium,44.79,2022-05-24,True,0.0,25-34,northeast,PHI,8,0.59
CUST_000005,casual,basic,40.24,2022-12-31,True,0.0,45-54,southeast,ORL,9,0.24
CUST_000006,regular,vip,83.53,2023-02-03,True,0.0,35-44,west,MEM,10,0.59
CUST_000007,casual,basic,18.41,2022-02-23,False,0.0,18-24,southeast,MIA,4,0.2
CUST_000008,regular,premium,78.57,2022-12-27,True,0.0,25-34,northeast,PHI,6,0.59
CUST_000009,avid,family,52.71,2023-06-11,True,0.0,45-54,midwest,LAL,2,0.64
CUST_000010,super_fan,vip,197.93,2022-11-13,True,0.0,25-34,southeast,BOS,17,0.9
CUST_000011,avid,premium,82.39,2021-07-09,True,0.0,25-34,west,GSW,19,0.52
CUST_000012,casual,basic,26.84,2024-10-29,True,0.1,35-44,southeast,MIA,6,0.2
CUST_000013,casual,basic,22.35,2024-01-10,True,0.3,25-34,southeast,MIA,5,0.2
CUST_000014,regular,premium,76.19,2021-07-22,True,0.0,45-54,midwest,MIN,7,0.52
CUST_000015,regular,premium,24.71,2024-10-04,True,0.0,65+,southeast,DET,13,0.52
CUST_000016,casual,premium,16.15,2022-04-18,True,0.1,18-24,west,SAC,3,0.34
CUST_000017,casual,basic,26.3,2025-08-03,True,0.2,25-34,west,DEN,5,0.32
CUST_000018,avid,premium,79.13,2021-09-11,True,0.0,55-64,southeast,MIL,3,0.76
CUST_000019,casual,basic,35.09,2023-03-12,True,0.0,25-34,midwest,MIL,20,0.38
CUST_000020,casual,basic,51.69,2024-10-20,True,0.3,35-44,midwest,MIN,4,0.3
CUST_000021,casual,basic,45.56,2025-03-16,True,0.3,35-44,midwest,BOS,7,0.38
CUST_000022,super_fan,vip,82.89,2022-07-20,True,0.0,55-64,southeast,ATL,14,0.57
CUST_000023,regular,premium,64.74,2024-11-17,True,0.0,65+,northeast,NYK,15,0.56
CUST_000024,avid,premium,42.4,2022-02-04,True,0.2,55-64,midwest,MIL,5,0.76
CUST_000025,regular,premium,58.99,2021-11-10,True,0.0,35-44,midwest,CLE,1,0.63
CUST_000026,casual,basic,23.62,2021-09-26,False,0.1,65+,midwest,BOS,11,0.38
CUST_000027,casual,premium,52.34,2024-11-17,False,0.0,35-44,southwest,HOU,7,0.24
CUST_000028,casual,premium,40.7,2023-03-01,False,0.0,25-34,west,PHX,14,0.26
CUST_000029,casual,basic,21.79,2022-03-29,True,0.0,18-24,southeast,ATL,3,0.24
CUST_000030,casual,basic,37.59,2023-02-08,True,0.1,35-44,midwest,CLE,12,0.36
CUST_000031,avid,family,95.56,2022-11-22,True,0.1,35-44,southwest,MEM,9,0.68
CUST_000032,regular,basic,60.39,2022-12-28,True,0.0,25-34,southeast,CHA,5,0.49
CUST_000033,regular,premium,90.04,2023-07-09,True,0.3,35-44,west,POR,15,0.66
CUST_000034,casual,basic,34.86,2023-05-17,True,0.3,45-54,southeast,MIL,19,0.38
CUST_000035,avid,family,118.84,2023-05-01,True,0.0,25-34,northeast,MIA,8,0.4
CUST_000036,regular,basic,67.12,2023-07-24,False,0.0,35-44,southeast,DAL,10,0.49
CUST_000037,super_fan,vip,100.37,2023-08-04,True,0.0,45-54,southwest,LAL,24,0.76
CUST_000038,casual,basic,42.91,2024-06-29,True,0.2,35-44,west,LAL,23,0.32
CUST_000039,regular,premium,46.3,2023-10-22,True,0.0,18-24,midwest,IND,5,0.59
CUST_000040,regular,basic,117.53,2023-02-03,True,0.1,35-44,southwest,CHI,33,0.59
CUST_000041,regular,vip,41.84,2021-12-24,True,0.1,35-44,midwest,MIA,11,0.35
CUST_000042,casual,basic,27.27,2022-05-17,True,0.0,35-44,southeast,ORL,25,0.24
CUST_000043,casual,basic,21.26,2023-04-04,False,0.1,18-24,west,PHX,1,0.26
CUST_000044,regular,premium,95.54,2023-03-06,True,0.0,45-54,midwest,GSW,10,0.45
